Season,Playoffs,Rk,G,Date,Age,Tm,Home,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2016-2017,0,2,2,10/28/2016,31-303,CLE,0,TOR,W (+3),1,38:40:00,7,16,0.438,2,6,0.333,5,7,0.714,2,6,8,7,0,0,5,2,21,14.1,0
2016-2017,0,6,6,11/5/2016,31-311,CLE,0,PHI,W (+1),1,35:52:00,9,23,0.391,1,5,0.2,6,7,0.857,1,7,8,14,2,1,5,1,25,22,11
2016-2017,0,8,8,11/11/2016,31-317,CLE,0,WAS,W (+11),1,38:06:00,9,18,0.5,3,4,0.75,6,9,0.667,0,10,10,5,2,2,6,1,27,20.3,7
2016-2017,0,11,,11/16/2016,31-322,CLE,0,IND,L (-10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2016-2017,0,15,14,11/27/2016,31-333,CLE,0,PHI,W (+4),1,41:30:00,9,19,0.474,1,4,0.25,7,9,0.778,2,8,10,13,1,0,5,0,26,24.4,2
2016-2017,0,16,15,11/29/2016,31-335,CLE,0,MIL,L (-17),1,32:53:00,8,16,0.5,3,8,0.375,3,7,0.429,0,4,4,4,0,0,7,3,22,8.2,-12
2016-2017,0,18,17,12/2/2016,31-338,CLE,0,CHI,L (-6),1,44:40:00,13,22,0.591,1,3,0.333,0,0,,0,5,5,13,0,0,8,2,27,18.6,-3
2016-2017,0,19,18,12/5/2016,31-341,CLE,0,TOR,W (+4),1,42:01:00,12,26,0.462,2,7,0.286,8,9,0.889,3,5,8,7,2,0,1,2,34,28.9,9
2016-2017,0,20,19,12/7/2016,31-343,CLE,0,NYK,W (+32),1,32:27:00,7,10,0.7,1,2,0.5,10,14,0.714,2,4,6,7,1,2,4,2,25,24.3,32
2016-2017,0,24,,12/14/2016,31-350,CLE,0,MEM,L (-8),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
2016-2017,0,26,24,12/20/2016,31-356,CLE,0,MIL,W (+6),1,47:29:00,12,25,0.48,5,9,0.556,5,6,0.833,3,9,12,7,1,1,2,2,34,29.5,8
2016-2017,0,30,,12/26/2016,31-362,CLE,0,DET,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2016-2017,0,32,29,12/31/2016,32-001,CLE,0,CHO,W (+12),1,35:47:00,12,25,0.48,4,8,0.5,4,6,0.667,2,4,6,9,1,0,1,1,32,27,17
2016-2017,0,35,32,1/6/2017,32-007,CLE,0,BRK,W (+8),1,35:17:00,14,20,0.7,0,1,0,8,10,0.8,0,9,9,6,3,0,5,2,36,30.9,20
2016-2017,0,36,33,1/8/2017,32-009,CLE,0,PHO,W (+4),1,39:31:00,11,17,0.647,2,4,0.5,4,6,0.667,3,5,8,4,1,0,7,3,28,18.9,-2
2016-2017,0,37,34,1/10/2017,32-011,CLE,0,UTA,L (-8),1,36:55:00,10,20,0.5,3,6,0.5,6,7,0.857,1,5,6,5,4,0,4,0,29,24.3,-8
2016-2017,0,38,35,1/11/2017,32-012,CLE,0,POR,L (-16),1,30:31:00,5,12,0.417,2,5,0.4,8,9,0.889,1,10,11,4,1,1,5,1,20,16,-7
2016-2017,0,39,36,1/13/2017,32-014,CLE,0,SAC,W (+12),1,41:41:00,6,12,0.5,1,4,0.25,3,3,1,0,2,2,15,1,1,5,2,16,17,16
2016-2017,0,40,37,1/16/2017,32-017,CLE,0,GSW,L (-35),1,35:00:00,6,18,0.333,1,4,0.25,7,10,0.7,2,6,8,2,1,0,6,1,20,7.8,-32
2016-2017,0,43,40,1/23/2017,32-024,CLE,0,NOP,L (-2),1,43:43:00,11,21,0.524,1,4,0.25,3,4,0.75,2,8,10,12,2,0,6,2,26,22.7,-10
2016-2017,0,47,44,1/30/2017,32-031,CLE,0,DAL,L (-7),1,37:17:00,9,19,0.474,1,6,0.167,4,8,0.5,0,9,9,9,2,0,5,0,23,17.7,-8
2016-2017,0,49,46,2/4/2017,32-036,CLE,0,NYK,W (+7),1,39:35:00,12,20,0.6,4,8,0.5,4,5,0.8,0,5,5,10,0,0,5,1,32,25.5,11
2016-2017,0,50,47,2/6/2017,32-038,CLE,0,WAS,W (+5),1,42:04:00,12,18,0.667,6,8,0.75,2,5,0.4,0,7,7,17,2,2,6,6,32,32,0
2016-2017,0,51,48,2/8/2017,32-040,CLE,0,IND,W (+15),1,38:16:00,9,16,0.563,1,2,0.5,6,8,0.75,1,5,6,9,1,1,4,2,25,22,8
2016-2017,0,52,49,2/9/2017,32-041,CLE,0,OKC,L (-9),1,40:53:00,8,19,0.421,1,4,0.25,1,3,0.333,1,4,5,7,2,2,3,1,18,13.9,-4
