cnt,ProgramId,Title,DateStart
1,886,U Hungry - Night 1 (Retroactive Proposal),8/29/2017
1,979,Eid Prayers & Brunch,9/1/2017
1,1115,What To Expect Your First Semester,9/4/2017
1,1179,TRUE Presents: Welcome Back Mister Softee Ice Cream Party,9/5/2017
1,2115,Second Hall Snack Session,9/17/2017
1,607,CC - Food For Thought: Hall Snack 1,9/7/2017
1,708,SUNDAY SKATING,9/17/2017
1,1794,UHall 9th Floor Hall Snacks: Turnt Up Thursday (9/14),9/14/2017
1,380,How to do Laundry,8/29/2017
1,780,2nd Mandatory Floor Meeting & Week 1 Hall Snacks for Othmer 4th Floor,9/5/2017
1,878,What to Expect Your First Semester (Lipton),9/4/2017
1,1507,CC Hall Snacks - Week 2,9/14/2017
1,1550,2 North Hall Snacks,9/12/2017
1,1580,First Floor Meeting,8/28/2017
1,1807,"Climate Change, What's Next?  With Naomi Oreskes",9/14/2017
1,450,Welcome Week Mystery Broadway Show,8/31/2017
1,1050,Hall Snacks 7th Floor Week 3,9/19/2017
1,1099,Floor Meeting (9th Floor) (Labor Day),9/4/2017
1,1250,Hall Snacks,9/8/2017
1,1486,Service and Chill,9/16/2017
1,1501,12F Hall Snack #2,9/11/2017
1,1537,"U Hungry - 9/9, Saturday",9/9/2017
1,1637,Museum of Sex: The Female Gaze Exhibit ,9/23/2017
1,602,Brooklyn Bridge Walk and Picnic,9/10/2017
1,1917,2 North Hall Snacks,9/19/2017
1,2167,UHall 9th Floor Hall Snacks: Turnt Up Thursday (9/21),9/21/2017
1,1360,Munchies & Chill,9/4/2017
1,1828,Mocktail Hour,9/22/2017
1,1960,6 East Hall Snacks,9/18/2017
1,560,LA FL4: EatLafLove Hall Snacks Week 1,9/8/2017
1,1053,First Day of Classes Coffee + Bagels,9/1/2017
1,1057,Yoga to the People (CO 4th),9/16/2017
1,551,Homecoming Hangout ,9/21/2017
1,568,LA FL4 EatLafLove Hall Snacks Week 1 (SAMPLE),8/26/2017
1,934,Hall Snacks (Clark 3rd) 9/22,9/22/2017
1,1134,Floor: Hall Snacks 2,9/6/2017
1,1385,First Hall Snack Session,9/10/2017
1,1670,Emmy Awards Watch Party,9/17/2017
1,2202,Floor: Suite Snacks #3,9/20/2017
1,368,Hall Snacks Week tester ,9/3/2017
1,797,What to Expect Your First Semester of College,9/4/2017
1,1540,Captain E-DO,9/10/2017
1,1897,Violet Nation soccer game program,9/16/2017
1,725,Broadway Cabaret,8/28/2017
1,1411,FFIR: What to Expect with Carley,9/4/2017
1,1576,Family Brunch,9/17/2017
1,1611,Grad Housing Happy Hour: September Edition,9/22/2017
1,1726,6 East Hall Snacks,9/11/2017
1,2062,UHall 6th Floor Hall Snacks #3 (9/20): Game Night! ,9/20/2017
1,346,Yoga to the People!,9/5/2017
1,846,[All Hall] Kayaking on the Hudson,8/31/2017
1,1448,CC C1 Floors 2 & 3 Week 2 Hall Snacks ,9/12/2017
1,1841,Munchies & Chill,9/18/2017
1,667,First Floor Meeting--UHall 7th Floor,8/27/2017
1,1467,CC Hall Snacks 3 - C3 floors 9 &10,9/20/2017
1,1684,American Horror Story Viewing Week 2,9/12/2017
1,263,Central Park Tour,9/9/2017
1,995,Hall Snacks 3 (Clark 5th Floor),9/19/2017
1,1324,CC Floor Program - Bubble Tea on the Square,9/17/2017
1,1856,Floor: Hall Snacks 3,9/11/2017
1,2135,LA FL4 #StudySlamSeries,9/24/2017
1,259,Games Night,9/4/2017
1,791,Floor Meeting (9th Floor),8/27/2017
1,2345,Third Hall Snack Session,9/24/2017
1,1021,Floor Dinner (9th Floor),9/2/2017
1,1055,12F Hall Snacks,9/4/2017
1,1098,UHall 9th Floor Hall Snacks: Turnt Up Thursday (9/7),9/7/2017
1,1298,6 East Hall Snacks,9/4/2017
1,1600,Weekend Wind Down ,9/9/2017
1,332,First Floor Meeting,9/4/2017
1,1183,"CC Hall Snacks 3 - C1, Floors 4&5",9/24/2017
1,1787,Kayaking at Pier 26,9/17/2017
1,1821,Fantastic Beasts and Ice Cream Sundaes,9/16/2017
1,1902,Trip to The Met Cloisters,9/24/2017
1,1936,Central Park Picnic,9/23/2017
2,515,Gram-aste,9/18/2017
2,715,"CC C3, 7 & 8 -Get to Know Over DO",9/15/2017
2,1566,Munchies & Chill,9/11/2017
2,1089,Mini Golf at Chelsea Piers,9/9/2017
2,1357,Brooklyn Bridge Park Rollerskating,9/16/2017
2,864,CC Hall Snacks - C2 Fl. 6&7 Event 1,9/7/2017
2,1409,A capella Show ,8/29/2017
2,877,UHall 13th Floor Sunday Snacks 1,9/10/2017
2,256,Grad Halls Happy Hour,8/31/2017
2,813,Othmer 6- Cereal Bar (3) Hall Snacks,9/21/2017
2,1369,4th Floor Dinner,9/7/2017
2,267,Bed Bath and Beyond After Dark ,8/27/2017
2,1139,Saturday @ Smorgasburg ,9/16/2017
2,1346,Rubin RC Program: September 7,9/7/2017
2,276,Yoga to the People !!!,8/29/2017
2,310,NYU IRHC Presents: 15th Annual Casino Night,8/31/2017
2,1412,Casino Night ,8/31/2017
2,890,"Hall: Run, Walk, Roll to the Brooklyn Bridge",9/5/2017
2,925,Summer! One Last Time!,9/17/2017
2,490,Gramercy Green 16th Floor Goes Roller Skating!,9/10/2017
2,811,Brooklyn Transit Museum ,9/10/2017
2,990, Photoville 2017! ,9/23/2017
2,517,Gramfam takes Mad. Sq. Eats,9/10/2017
2,700,Walking Tour and Ice cream,8/28/2017
2,249,Fourth Floor Movie Night,9/7/2017
2,662,Hall Snack (Clark 3rd Floor),9/8/2017
2,862,Hall Snacks Othmer 5th Floor (Week 4),9/21/2017
2,2168,UHungry? (9/19),9/19/2017
2,1410,FFIR: Cheese vs Chocolate,9/2/2017
2,1142,UHall 2nd Floor Hall Snacks: Breakfast for Dinner 9/7,9/7/2017
2,1631,Soul Cycle,9/16/2017
2,956,Hall Snacks week 2 Othmer floor 3,9/14/2017
2,816,Floor: Imani McCray,8/30/2017
2,986,Clark 4 Hall Snacks Week 3,9/19/2017
