cnt,entryId,CUM_GPA
1,178420,1.94
1,217560,2.03
1,211958,2.41
1,216065,2.65
1,188254,2.67
1,211533,2.71
1,184824,2.76
1,221433,2.79
1,209444,2.84
1,208200,2.85
1,211628,2.86
1,214529,3
1,226356,3
1,207218,3.05
1,196851,3.06
1,210051,3.06
1,211188,3.14
1,224937,3.19
1,149513,3.2
1,214611,3.21
1,206163,3.25
1,214832,3.28
1,214538,3.3
1,188251,3.33
1,197209,3.34
1,174465,3.35
1,183953,3.35
1,215284,3.36
1,214941,3.39
1,231624,3.4
1,198218,3.41
1,208911,3.41
1,227227,3.43
1,148989,3.45
1,184076,3.47
1,217466,3.47
1,162022,3.48
1,157621,3.5
1,137259,3.53
1,176466,3.54
1,198317,3.56
1,207240,3.56
1,188457,3.57
1,194052,3.58
1,197756,3.58
1,207970,3.58
1,215502,3.58
1,198543,3.59
1,208352,3.61
1,231626,3.62
1,217081,3.63
1,149744,3.65
1,211701,3.66
1,151499,3.68
1,183980,3.68
1,197166,3.68
1,137276,3.7
1,197281,3.7
1,231577,3.7
1,211674,3.71
1,214203,3.71
1,214505,3.71
1,215170,3.71
1,217538,3.73
1,227303,3.73
1,198130,3.74
1,183110,3.75
1,187634,3.75
1,185609,3.77
1,210665,3.77
1,217011,3.79
1,212389,3.8
1,213890,3.8
1,231548,3.8
1,211480,3.81
1,111365,3.82
1,139150,3.83
1,201095,3.83
1,214411,3.83
1,231584,3.83
1,188144,3.86
1,231608,3.86
1,208069,3.9
1,227328,3.9
1,172662,3.92
1,186744,3.92
1,213192,3.96
1,217774,3.96
1,213208,4
1,137468,2.31
1,181839,2.7
1,196595,2.71
1,178075,2.72
1,204587,2.8
1,202207,2.83
1,208108,2.87
1,213654,2.87
1,158703,2.94
1,214566,2.94
1,218974,3.06
1,213108,3.07
1,154064,3.09
1,177871,3.09
1,215608,3.1
1,134912,3.12
1,208322,3.12
1,207677,3.15
1,181667,3.17
1,130425,3.19
1,186188,3.2
1,216960,3.23
1,135766,3.24
1,216333,3.25
1,213633,3.26
1,135544,3.3
1,135536,3.32
1,182275,3.32
1,177009,3.33
1,163311,3.39
1,216506,3.4
1,211363,3.41
1,218172,3.41
1,227336,3.41
1,231585,3.41
1,108655,3.42
1,205686,3.42
1,165319,3.43
1,209123,3.44
1,170289,3.48
1,214370,3.49
1,197257,3.5
1,217718,3.5
1,211595,3.51
1,213642,3.51
1,225671,3.51
1,134497,3.54
1,206876,3.54
1,192631,3.55
1,197105,3.57
1,194878,3.58
